135,"Victor Oladipo, SG",Oklahoma City Thunder,"$6,552,961 "
136,"Jodie Meeks, SG",Orlando Magic,"$6,540,000 "
137,"Jeremy Lamb, SG",Charlotte Hornets,"$6,511,628 "
138,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000 "
139,"Aron Baynes, C",Detroit Pistons,"$6,500,000 "
140,"Tim Duncan, C",San Antonio Spurs,"$6,393,750 "
141,"Spencer Hawes, PF",Charlotte Hornets,"$6,348,759 "
142,"Marco Belinelli, SG",Charlotte Hornets,"$6,333,333 "
143,"Jae Crowder, PF",Boston Celtics,"$6,286,408 "
144,"Lance Thomas, SF",New York Knicks,"$6,191,000 "
145,"Tarik Black, PF",Los Angeles Lakers,"$6,191,000 "
146,"Andrew Nicholson, PF",Washington Wizards,"$6,088,993 "
147,"Patrick Patterson, PF",Toronto Raptors,"$6,050,000 "
148,"Andrew Wiggins, SF",Minnesota Timberwolves,"$6,006,600 "
149,"Ramon Sessions, PG",Charlotte Hornets,"$6,000,000 "
150,"Wayne Ellington, SG",Miami Heat,"$6,000,000 "
151,"Ish Smith, PG",Detroit Pistons,"$6,000,000 "
152,"Alex Abrines, SG",Oklahoma City Thunder,"$5,994,764 "
153,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$5,960,160 "
154,"Ben Simmons, PG",Philadelphia 76ers,"$5,903,160 "
155,"Otto Porter Jr., SF",Washington Wizards,"$5,893,981 "
156,"Shaun Livingston, PG",Golden State Warriors,"$5,782,450 "
157,"Josh McRoberts, PF",Miami Heat,"$5,782,450 "
158,"Nikola Mirotic, PF",Chicago Bulls,"$5,782,450 "
159,"Brandan Wright, PF",Memphis Grizzlies,"$5,709,880 "
160,"Tyler Johnson, SG",Miami Heat,"$5,628,000 "
161,"Jared Sullinger, C",Toronto Raptors,"$5,628,000 "
162,"Wesley Johnson, SF",LA Clippers,"$5,628,000 "
163,"Tony Allen, SG",Memphis Grizzlies,"$5,505,618 "
164,"Luis Scola, PF",Brooklyn Nets,"$5,500,000 "
